year,election,wilaya,moughataa,commune,candidate,registered_voters,nb_null_votes,nb_neutral_votes,nb_votes
2019,Presidential,Adrar,Aoujeft,Aoujeft,Biram Dah Dah ABEID (Biram),2327,12,6,45
2019,Presidential,Adrar,Aoujeft,Aoujeft,KANE Hamidou Baba (Kane),2327,12,6,14
2019,Presidential,Adrar,Aoujeft,Aoujeft,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),2327,12,6,1118
2019,Presidential,Adrar,Aoujeft,Aoujeft,Mohamed Lemine El Mourteji El WAVI (Wavi),2327,12,6,2
2019,Presidential,Adrar,Aoujeft,Aoujeft,Mohamed Sidi MAOULOUD (Maouloud),2327,12,6,268
2019,Presidential,Adrar,Aoujeft,Aoujeft,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),2327,12,6,150
2019,Presidential,Adrar,Aoujeft,El Medah,Biram Dah Dah ABEID (Biram),2779,25,7,5
2019,Presidential,Adrar,Aoujeft,El Medah,KANE Hamidou Baba (Kane),2779,25,7,1
2019,Presidential,Adrar,Aoujeft,El Medah,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),2779,25,7,1460
2019,Presidential,Adrar,Aoujeft,El Medah,Mohamed Lemine El Mourteji El WAVI (Wavi),2779,25,7,3
2019,Presidential,Adrar,Aoujeft,El Medah,Mohamed Sidi MAOULOUD (Maouloud),2779,25,7,23
2019,Presidential,Adrar,Aoujeft,El Medah,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),2779,25,7,230
2019,Presidential,Adrar,Aoujeft,Maeden,Biram Dah Dah ABEID (Biram),3351,22,7,24
2019,Presidential,Adrar,Aoujeft,Maeden,KANE Hamidou Baba (Kane),3351,22,7,4
2019,Presidential,Adrar,Aoujeft,Maeden,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),3351,22,7,1305
2019,Presidential,Adrar,Aoujeft,Maeden,Mohamed Lemine El Mourteji El WAVI (Wavi),3351,22,7,3
